Key,id,Spanish(es),Spanish (Ecuador)(es-EC),French(fr),English(en)
U023,23,Instrucciones,Kamachina rimaykuna,Instructions,Instructions
U024,24,Desplazamiento,Purina,Déplacement,Movement
U025,25,Cámara,Kamera,Caméra,Camera
U026,26,Tutorial 5,Yachay 5,Tutoriel 5,Tutorial 5
U027,27,Para desplazarte usa las teclas:,Purina killkakunata apaykuna,"Pour vous déplacer, utilisez les touches :","To move, use the keys:"
U028,28,Moverse,Purina,Se déplacer,Move
U029,29,Con el cursor del mouse puedes mover la cámara,Ukata cursorwan kamera apaykuna,Vous pouvez déplacer la caméra avec le curseur de la souris,You can move the camera with the mouse cursor
U030,30,Interactuar,Rurana,Interagir,Interact
U031,31,Pausar,Sakichina,Pause,Pause
U032,32,Cargando...,Chaymanta...,Chargement...,Loading...
U033,33,"Presiona ""P"" para abrir el menú de opciones","""P"" ñitina, kamachina menu killkuna","Appuyez sur ""P"" pour ouvrir le menu des options","Press ""P"" to open the options menu"
U034,34,para avanzar a la siguiente habitación,Ñawpa wasi yaykuna,pour passer à la pièce suivante,to advance to the next room
U035,35,Saltar introducción,Yachay chinkachina,Passer l’introduction,Skip introduction
U036,36,Modo accesibilidad,Alli apaykuna kamachina ruraykuna,Mode accessibilité,Accessibility mode
U037,37,Visualizar cursor,Cursor rikuchina,Afficher le curseur,Show cursor
U038,38,Pasillo principal,Hatun ñan,Couloir principal,Main hallway
U039,39,Museo,Yachay wasi,Musée,Museum
U040,40,Oratorio,Mayllay wasi,Oratoire,Oratory
U041,41,Patio interior,Ukuta wasi,Cour intérieure,Inner courtyard
U042,42,Pabellón de Banderas,Wiphala pampa,Pavillon des Drapeaux,Hall of Flags
U043,43,Gabinete Presidencial,Suma kamachina wasi,Cabinet présidentiel,Presidential Cabinet
U044,44,Salón de banquetes,Mikuy wasi,Salle de banquet,Banquet hall
U045,45,Salón de los Presidentes,Q'illu wasi,Salle des Présidents,Hall of Presidents
U046,46,Balcón presidencial,Kamachina balcony,Balcon présidentiel,Presidential balcony
U047,47,Despacho presidencial,Kamachina wasi,Bureau présidentiel,Presidential office
U048,48,Inicio,Kallari,Accueil,Home
U049,49,Mirar,Rikuna,Regarder,Look
U050,50,Para desplazarte usa el joystick izquierdo,Left joystick apaykuna purina,Utilisez le joystick gauche pour vous déplacer,Use the left joystick to move
U051,51,Con el joystick derecho puedes mover la cámara,Right joystick apaykuna kamera,Utilisez le joystick droit pour déplacer la caméra,Use the right joystick to move the camera
U052,52,Tap para interactuar,Tap rurana,Appuyez pour interagir,Tap to interact
U053,53,Toca para pausar o abrir el menú,Tap sakichina o menu killkuna,Appuyez pour mettre en pause ou ouvrir le menu,Tap to pause or open the menu
U054,54,Rotar Palacio,Wasi muyuna,Faire tourner le palais,Rotate Palace
U055,55,Mantener presionado el click izquierdo sobre el palacio:,Left click ñitina wasi,Maintenez le clic gauche sur le palais :,Hold the left click on the palace:
U056,56,Mover cámara,Kamera apaykuna,Déplacer la caméra,Move camera
U057,57,Mantener presionado el click derecho sobre el palacio:,Right click ñitina wasi,Maintenez le clic droit sur le palais :,Hold the right click on the palace:
U058,58,Zoom,Zoom,Zoom,Zoom
U059,59,Acerca o aleja la cámara con la rueda del mouse.,Mouse wheelwan kamera chinkachina o rikuchina,Zoomez ou dézoomez avec la molette de la souris.,Zoom in or out with the mouse wheel.
U060,60,Interactuar,Rurana,Interagir,Interact
U061,61,Click sobre el ícono para desplegar la información,"Ikona ñitina, yachay rikuchina",Cliquez sur l'icône pour afficher les informations,Click the icon to display information
U062,62,Mantener presionado tap con un dedo en el palacio:,Tap ñitina shuk makiwan wasi,Appuyez et maintenez avec un doigt sur le palais :,Tap and hold with one finger on the palace:
U063,63,Tap con dos dedos en el palacio y mantener presionado:,"Tap ñitina iskay makiwan wasi, chaymanta sakichina",Appuyez et maintenez avec deux doigts sur le palais :,Tap and hold with two fingers on the palace:
U064,64,Pellizca con dos dedos en la pantalla.,Iskay makiwan pantalla chinkachina,Pincez avec deux doigts sur l’écran.,Pinch with two fingers on the screen.
U065,65,Tap sobre el ícono para desplegar la información.,"Ikona ñitina, yachay rikuchina",Appuyez sur l'icône pour afficher les informations.,Tap the icon to display information.
U066,66,Patio principal y Pabellón,Pabellón,Cour principale et le Pavillon,Main courtyard and Pavilion
U067,67,Hall del segundo piso,Ishkay pata hallpi,Hall du deuxième étage,Second Floor Hall
U068,68,Dirige tu punto de vista con:,Rikchari shimikuta kaypi:,Dirige ton point de vue avec :,Direct your point of view with:
U069,69,Ahora puedes usar el teclado para controlar toda la experiencia,Kunan keyboard-wan tukuy rikuyta ruwanki,Vous pouvez maintenant utiliser le clavier pour contrôler toute l’expérience,You can now use the keyboard to control the entire experience
U070,70,para avanzar al Patio principal y Pabellón,riyayki Hatun patio ukllay wasi,aller vers la Cour principale et le Pavillon,to advance to the Main courtyard and Pavilion
U071,71,para avanzar a la Sala de exposiciones permanentes y temporales,riyayki Rikuchina wasi kawsaykunapa shuklla ima kikinyakunapa,aller vers la Salle d'expositions permanentes et temporaires,to advance to the Permanent and Temporary Exhibition Hall
U072,72,para avanzar al Salón de Sesiones del Gabinete Ministerial,riyayki Ministro gabinete tinkunakuna wasi,aller vers la Salle des sessions du Cabinet ministériel,to advance to the Cabinet Meeting Hall
U073,73,para avanzar al Salón de Banquetes,riyayki Mijuy tinkuy wasi,aller vers la Salle des banquets,to advance to the Banquet Hall
U074,74,para avanzar al Salón de los Presidentes,riyayki Suyuyukunapa kuraka wasi,aller vers la Salle des présidents,to advance to the Hall of Presidents
U075,75,para avanzar al Balcón Presidencial,riyayki Kuraka balcón,aller vers le Balcon présidentiel,to advance to the Presidential Balcony
U076,76,para avanzar al Despacho Presidencial,riyayki Kuraka hatun wasi,aller vers le Bureau présidentiel,to advance to the Presidential Office
U077,77,para avanzar al Hall del segundo piso,riyayki Ishkay pata hallpi,aller vers le Hall du deuxième étage,to advance to the Second Floor Hall
U078,78,para avanzar al Pasillo Principal,riyayki Ñan principalpi,aller vers le Couloir principal,to advance to the Main Hallway
U079,79,para entrar al Oratorio,yaykuyki oratorio wasi,entrer dans l'Oratoire,to enter the Oratory
U080,80,Continuar,Ñawpaqman,Continuer,Continue
